countyicp,sex,age,marst,race,bpl,hcovany,hcovpriv,educ,incwage,incbus00,work_income
0,female,39,"single, never married",white,maine,coverage,private coverage,4 years of college,86293,10787,97080
0,male,21,"single, never married",white,maine,coverage,private coverage,2 years of college,0,16180,16180
0,male,21,"single, never married",white,maine,coverage,private coverage,2 years of college,0,16180,16180
0,female,24,"single, never married",white,maine,coverage,private coverage,1 year of college,25888,0,25888
0,male,25,"single, never married",white,maine,coverage,private coverage,grade 12,25888,0,25888
0,male,67,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,107866,0,107866
190,male,46,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,97080,0,97080
190,female,46,"married, spouse present",white,maine,coverage,private coverage,4 years of college,30203,0,30203
0,female,63,"married, spouse present",white,maine,coverage,private coverage,grade 12,42931,0,42931
0,female,52,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,62563,0,62563
0,male,53,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,81978,0,81978
0,female,19,"single, never married",white,maine,coverage,private coverage,1 year of college,6472,0,6472
10,female,55,"single, never married",white,maine,coverage,private coverage,grade 12,29124,0,29124
10,female,24,"married, spouse present",white,maine,no coverage,no private coverage,grade 12,1618,0,1618
10,male,30,"married, spouse present",white,maine,coverage,no private coverage,grade 12,7874,0,7874
10,male,53,"single, never married",white,maine,coverage,private coverage,grade 12,59327,0,59327
190,female,71,"married, spouse present",white,maine,coverage,private coverage,4 years of college,4530,0,4530
0,male,24,"single, never married",white,maine,coverage,private coverage,4 years of college,6256,0,6256
0,male,51,"married, spouse present",white,maine,coverage,private coverage,4 years of college,52855,11865,64720
0,female,50,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,56091,0,56091
0,female,23,"single, never married",white,maine,coverage,private coverage,4 years of college,3236,0,3236
0,female,34,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,38832,-5933,32899
0,male,35,"married, spouse present",white,maine,coverage,private coverage,grade 12,28045,0,28045
0,female,43,divorced,white,maine,coverage,private coverage,grade 12,16180,0,16180
0,male,56,"married, spouse present",white,out of state,coverage,private coverage,grade 12,64720,0,64720
0,female,55,"married, spouse present",white,out of state,coverage,private coverage,grade 12,78743,0,78743
0,female,49,divorced,white,maine,coverage,private coverage,4 years of college,35596,0,35596
0,female,61,"married, spouse present",white,maine,coverage,private coverage,grade 12,26319,0,26319
0,male,73,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,86293,86293
0,female,72,"married, spouse present",white,out of state,coverage,private coverage,grade 12,14993,0,14993
0,female,48,"married, spouse absent",white,out of state,coverage,private coverage,grade 12,270,0,270
10,male,43,"single, never married",white,maine,coverage,no private coverage,4 years of college,1726,0,1726
190,male,66,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,4099,0,4099
0,female,20,"single, never married",white,maine,coverage,private coverage,1 year of college,16180,0,16180
10,female,43,"married, spouse present",white,maine,coverage,no private coverage,grades 5-8,10787,0,10787
10,male,50,"married, spouse present",white,maine,coverage,private coverage,grade 12,8629,0,8629
10,male,35,"married, spouse present",white,maine,coverage,private coverage,4 years of college,122968,0,122968
10,female,35,"married, spouse present",white,maine,coverage,private coverage,4 years of college,5393,0,5393
0,male,54,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,10787,32360,43147
0,male,22,"single, never married",white,maine,coverage,private coverage,1 year of college,5609,0,5609
0,male,61,"single, never married",white,out of state,coverage,private coverage,4 years of college,64720,0,64720
0,female,66,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,32360,32360
0,male,71,"married, spouse present",white,out of state,coverage,private coverage,grade 12,0,32360,32360
190,female,66,"married, spouse present",white,out of state,coverage,no private coverage,grade 12,4854,0,4854
10,male,43,"married, spouse present",white,maine,coverage,private coverage,grade 9,74428,0,74428
10,female,40,"married, spouse present",white,maine,coverage,private coverage,grade 11,45951,0,45951
10,female,23,"single, never married",white,maine,coverage,private coverage,1 year of college,4315,0,4315
0,female,52,divorced,white,out of state,coverage,no private coverage,4 years of college,7766,0,7766
190,female,30,"single, never married",white,out of state,coverage,no private coverage,grade 12,16396,0,16396
0,female,45,"married, spouse present",white,out of state,coverage,no private coverage,grade 12,6688,0,6688
0,female,24,"single, never married",white,out of state,coverage,private coverage,1 year of college,5933,0,5933
0,female,60,"single, never married",white,maine,coverage,private coverage,2 years of college,38832,0,38832
0,female,34,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,9277,0,9277
0,male,34,"married, spouse present",white,out of state,coverage,private coverage,grade 12,75507,0,75507
190,female,23,"single, never married",white,maine,coverage,no private coverage,grade 12,5393,0,5393
190,male,31,"single, never married",white,maine,no coverage,no private coverage,grade 11,21573,0,21573
10,female,53,divorced,white,out of state,coverage,private coverage,2 years of college,73349,0,73349
10,male,56,divorced,white,out of state,coverage,private coverage,grade 12,21573,0,21573
0,female,34,"married, spouse present",white,maine,coverage,private coverage,grade 12,19416,0,19416
0,male,39,"married, spouse present",white,maine,coverage,private coverage,grade 12,30203,0,30203
0,male,30,"single, never married",white,maine,coverage,private coverage,5+ years of college,35057,0,35057
0,female,25,divorced,white,maine,coverage,private coverage,grade 12,32360,0,32360
110,female,20,"single, never married",white,out of state,coverage,private coverage,1 year of college,5393,0,5393
110,male,51,divorced,white,maine,coverage,private coverage,grade 12,71192,0,71192
0,male,39,"single, never married",white,maine,no coverage,no private coverage,1 year of college,3236,0,3236
110,male,21,"single, never married",biracial,out of state,coverage,private coverage,grade 12,8629,0,8629
0,male,70,"married, spouse present",white,maine,coverage,private coverage,1 year of college,0,53933,53933
0,male,49,"married, spouse present",white,maine,coverage,private coverage,grade 12,69035,0,69035
0,male,19,"single, never married",white,maine,coverage,private coverage,grade 12,29124,0,29124
0,female,63,divorced,native american,out of state,no coverage,no private coverage,grade 12,0,18984,18984
0,male,32,"single, never married",native american,out of state,no coverage,no private coverage,grade 12,3236,0,3236
0,male,59,divorced,white,out of state,no coverage,no private coverage,grade 12,0,18877,18877
0,female,31,"married, spouse present",white,maine,coverage,private coverage,grade 12,53933,0,53933
110,male,58,"married, spouse present",white,maine,coverage,private coverage,1 year of college,51776,0,51776
110,female,63,"married, spouse present",white,maine,coverage,private coverage,4 years of college,34517,0,34517
0,female,66,widowed,white,out of state,coverage,private coverage,2 years of college,2697,0,2697
10,female,31,"married, spouse present",white,maine,coverage,private coverage,4 years of college,19416,0,19416
10,male,30,"married, spouse present",white,maine,coverage,private coverage,grade 12,31389,0,31389
0,male,57,"married, spouse present",white,out of state,coverage,private coverage,grade 12,353802,0,353802
0,female,52,"married, spouse present",white,maine,coverage,private coverage,grade 12,34517,0,34517
190,female,26,"single, never married",white,out of state,coverage,no private coverage,1 year of college,0,10787,10787
190,male,27,"single, never married",white,maine,coverage,no private coverage,grade 12,0,10787,10787
0,male,57,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,77664,0,77664
0,female,57,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,30203,0,30203
0,female,56,"married, spouse present",white,maine,coverage,private coverage,grade 12,29124,0,29124
0,male,48,"married, spouse present",white,maine,coverage,private coverage,1 year of college,39911,0,39911
0,male,42,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,56091,0,56091
0,female,40,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,94922,0,94922
190,female,45,divorced,white,out of state,coverage,private coverage,2 years of college,51776,0,51776
0,female,50,divorced,white,out of state,coverage,private coverage,2 years of college,53933,0,53933
0,male,50,"single, never married",white,out of state,coverage,private coverage,grade 12,43147,0,43147
190,female,74,"married, spouse present",white,maine,coverage,no private coverage,grade 12,216,0,216
190,male,75,"married, spouse present",white,maine,coverage,no private coverage,grade 10,0,9708,9708
0,male,67,"married, spouse present",white,out of state,coverage,no private coverage,grades 5-8,7119,0,7119
0,male,63,"married, spouse present",white,maine,coverage,private coverage,grade 12,43147,0,43147
110,female,20,"single, never married",white,out of state,coverage,private coverage,grade 12,4315,0,4315
10,female,43,separated,white,maine,coverage,private coverage,4 years of college,24594,0,24594
0,male,36,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,97080,0,97080
0,female,36,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,0,7551,7551
10,male,30,"married, spouse present",white,maine,coverage,private coverage,grade 12,46275,8629,54904
10,female,27,"married, spouse present",white,maine,coverage,private coverage,4 years of college,34517,0,34517
0,female,33,"married, spouse present",white,maine,coverage,private coverage,grade 12,37753,0,37753
0,male,37,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,51776,0,51776
110,female,35,"married, spouse present",white,maine,coverage,private coverage,4 years of college,42068,0,42068
0,female,41,"married, spouse present",white,maine,coverage,private coverage,2 years of college,39911,0,39911
0,male,48,"married, spouse present",white,out of state,no coverage,no private coverage,grade 12,0,40989,40989
0,female,18,"single, never married",white,maine,no coverage,no private coverage,grade 12,2157,0,2157
0,female,45,"married, spouse present",white,maine,coverage,private coverage,grade 12,12620,0,12620
0,male,46,"married, spouse present",white,maine,coverage,private coverage,4 years of college,53933,0,53933
0,male,65,"married, spouse present",white,maine,coverage,private coverage,4 years of college,80900,0,80900
0,female,54,"married, spouse present",white,out of state,coverage,private coverage,grade 12,15641,0,15641
190,female,59,"married, spouse present",white,out of state,coverage,private coverage,grade 12,21573,0,21573
0,male,47,separated,white,out of state,coverage,private coverage,1 year of college,0,75507,75507
0,male,40,"single, never married",white,maine,coverage,private coverage,grade 12,43147,0,43147
0,female,42,divorced,white,maine,coverage,private coverage,grade 12,23731,0,23731
0,female,73,"married, spouse present",white,maine,coverage,no private coverage,grade 12,4315,0,4315
0,male,48,"single, never married",white,maine,coverage,private coverage,grade 11,0,64720,64720
0,male,24,"single, never married",white,maine,no coverage,no private coverage,grade 12,32360,0,32360
0,female,22,"single, never married",white,maine,coverage,private coverage,grade 12,18229,0,18229
0,female,46,"single, never married",white,maine,no coverage,no private coverage,N/A or no schooling,43147,0,43147
0,male,73,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,0,3128,3128
0,male,45,divorced,white,maine,no coverage,no private coverage,2 years of college,36675,0,36675
0,male,20,"single, never married",white,maine,no coverage,no private coverage,grade 12,17259,0,17259
110,male,65,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,86293,0,86293
110,female,60,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,33439,0,33439
0,female,45,"married, spouse present",white,maine,no coverage,no private coverage,1 year of college,0,5393,5393
0,male,41,"married, spouse present",white,maine,no coverage,no private coverage,grades 5-8,0,10787,10787
0,female,56,divorced,white,maine,coverage,private coverage,grade 12,35596,0,35596
0,female,32,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,25672,0,25672
0,male,32,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,41205,0,41205
0,female,52,divorced,white,out of state,coverage,private coverage,5+ years of college,107866,0,107866
0,female,30,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,4854,0,4854
0,male,30,"married, spouse present",white,maine,coverage,private coverage,1 year of college,89529,-5933,83596
0,female,55,"married, spouse present",white,maine,coverage,private coverage,2 years of college,14023,0,14023
0,male,59,"married, spouse present",white,maine,coverage,private coverage,4 years of college,0,40989,40989
0,female,35,"married, spouse present",white,maine,coverage,private coverage,2 years of college,33439,0,33439
0,male,36,"married, spouse present",white,maine,coverage,private coverage,1 year of college,64720,0,64720
0,male,64,"married, spouse present",white,maine,coverage,private coverage,grade 12,43147,0,43147
110,female,67,divorced,white,maine,coverage,no private coverage,grade 12,29124,0,29124
0,male,25,"single, never married",white,out of state,coverage,private coverage,1 year of college,16180,0,16180
0,male,72,widowed,white,out of state,coverage,private coverage,5+ years of college,1942,0,1942
0,female,51,divorced,white,out of state,coverage,private coverage,grade 12,26967,0,26967
0,female,26,"single, never married",white,maine,coverage,private coverage,4 years of college,70113,0,70113
0,male,30,"single, never married",white,maine,coverage,private coverage,4 years of college,37753,0,37753
10,female,43,"single, never married",white,out of state,coverage,private coverage,2 years of college,30095,0,30095
0,male,58,divorced,white,maine,coverage,private coverage,grade 12,58248,0,58248
0,female,23,"single, never married",white,out of state,coverage,no private coverage,grade 12,29124,0,29124
0,male,24,"single, never married",white,out of state,coverage,no private coverage,grade 12,1618,0,1618
110,female,44,"single, never married",white,maine,coverage,private coverage,1 year of college,62563,0,62563
0,female,20,"single, never married",white,maine,coverage,private coverage,1 year of college,8414,0,8414
0,male,50,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,48540,0,48540
0,female,23,"single, never married",white,out of state,coverage,private coverage,4 years of college,6148,0,6148
0,female,68,widowed,white,maine,coverage,no private coverage,grade 12,0,1294,1294
0,male,48,"single, never married",white,maine,coverage,private coverage,grade 12,66877,0,66877
0,male,47,"married, spouse absent",white,maine,coverage,private coverage,4 years of college,64720,0,64720
190,female,42,"married, spouse present",white,maine,coverage,private coverage,2 years of college,3236,0,3236
190,male,43,"married, spouse present",white,maine,coverage,private coverage,4 years of college,204946,0,204946
0,male,48,divorced,white,maine,coverage,private coverage,grade 10,32360,0,32360
0,female,51,divorced,white,out of state,coverage,private coverage,grade 12,32360,0,32360
110,male,49,"married, spouse present",white,out of state,coverage,private coverage,grade 12,51776,0,51776
0,male,60,"married, spouse present",white,out of state,no coverage,no private coverage,grade 12,0,59327,59327
0,female,56,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,26967,26967
190,female,52,"married, spouse present",white,out of state,coverage,no private coverage,grade 12,8629,0,8629
190,male,49,"married, spouse present",white,maine,no coverage,no private coverage,grade 12,18337,0,18337
0,male,51,divorced,Other Asian,out of state,coverage,private coverage,5+ years of college,53933,0,53933
0,female,43,"married, spouse present",white,maine,no coverage,no private coverage,grade 12,19416,0,19416
10,female,59,"married, spouse present",white,maine,coverage,private coverage,grade 9,21681,0,21681
0,male,79,"married, spouse present",white,out of state,coverage,no private coverage,grade 12,10787,0,10787
0,female,77,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,53933,0,53933
0,male,73,"married, spouse absent",white,out of state,coverage,no private coverage,4 years of college,73349,0,73349
0,male,28,"single, never married",white,out of state,coverage,private coverage,2 years of college,66877,0,66877
110,male,57,"married, spouse present",white,maine,coverage,private coverage,grade 12,31281,0,31281
0,female,54,"single, never married",white,maine,coverage,private coverage,5+ years of college,66877,0,66877
0,male,62,divorced,white,out of state,coverage,private coverage,grade 12,26967,0,26967
0,female,30,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,67956,0,67956
0,male,29,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,37753,0,37753
0,female,58,"married, spouse present",white,maine,coverage,private coverage,grade 12,38832,0,38832
110,female,48,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,0,539,539
